New Trip: 25/04/2021 16:17:39
['10', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0', '0', '75', '0', '0', '0', '---No Suggestion---']
['20', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0', '0', '75', '0', '0', '0', '---No Suggestion---']
['30', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'warning', 'reduce speed to 20 MPH', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0', '0', '75', '0', '0', '0', '---No Suggestion---']
['35', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'warning', 'reduce speed to 20 MPH', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0', '0', '75', '0', '0', '0', '---No Suggestion---']
['35', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'warning', 'reduce speed to 20 MPH', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0', '0', '75', '0', '0', '0', '---No Suggestion---']
['35', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'warning', 'reduce speed to 20 MPH', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0', '0', '75', '0', '0', '0', '---No Suggestion---']
['35', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'warning', 'reduce speed to 20 MPH', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0', '0', '75', '0', '0', '0', '---No Suggestion---']
['35', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'warning', 'reduce speed to 20 MPH', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0', '0', '75', '0', '0', '0', '---No Suggestion---']
New Trip: 25/04/2021 16:19:45
['0', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0', '0', '75', '0', '0', '0', '---No Suggestion---']
['0', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0', '0', '75', '0', '0', '0', '---No Suggestion---']
['15', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0', '0', '75', '0', '0', '0', '---No Suggestion---']
['30', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'warning', 'reduce speed to 20 MPH', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0', '0', '75', '0', '0', '0', '---No Suggestion---']
['30', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'warning', 'reduce speed to 20 MPH', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0', '0', '75', '0', '0', '0', '---No Suggestion---']
['30', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'warning', 'reduce speed to 20 MPH', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0', '0', '75', '0', '0', '0', '---No Suggestion---']
['30', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'warning', 'reduce speed to 20 MPH', 'ok', 'no hazard detected', 'ok', 'no hazard detected', 'ok', 'no hazard detected', '0', '0', '75', '0', '0', '0', '---No Suggestion---']
